IBAN
DE49 5185 0079 0002 0001 05
DE42 5186 1403 0000 0251 78
DE13 5154 0037 0124 0225 00
DE19 5001 0060 0027 4066 07
SEkk800 000000 7bbb aaaaaaa
SEkk800 00 8bbbb aaaaaaaaaa
SEkk500 000000 5bbb aaaaaaa
SEkk300 0000000 aaaaaaaaaa
SEkk600 00000000 aaaaaaaaa
SEkk950 0009960nn aaaaaaaa
TR13 0006 2000 7080 0006 6850 97
TR64 0006 7010 0000 0064 1052 76
TR39 0004 6000 2088 8000 1396 70
TR520001000625483149615001
TR870001500158007296498523
TR40 0006 2000 0860 0006 6929 59
TR18 0006 2000 0860 0006 2964 31
TR92 0004 6000 8088 8000 0392 01
TR62 0006 7010 0000 0082 4724 56
TR24 0011 1000 0000 0013 742357
SEkk800 000000 7bbb aaaaaaa
SEkk800 00 8bbbb aaaaaaaaaa
SEkk500 000000 5bbb aaaaaaa
SEkk300 0000000 aaaaaaaaaa
SEkk600 00000000 aaaaaaaaa
SEkk950 0009960nn aaaaaaaa
IT 98 Q 01030 03200 000004555518
IT 71 W 01005 03200 000000062600
IT 09 C 05584 03200 000000044444
IT 80 Y 01015 03200 000000017000
IT 77 H 02008 03283 000300577334
IT 33 A 03069 03206 100000011384
IT 50 I 02008 05154 000400277166
IT 69 Y 02008 11756 000007766594
SK42 8180 0000 0070 0022 1411
SK45 8180 0000 0070 0022 1454
SK23 8180 0000 0070 0022 1462
SK98 8180 0000 0070 0022 1470
SK67 8180 0000 0070 0022 1446
SK48 8180 0000 0070 0022 1497
SK63 8180 0000 0070 0022 1518
SK70 8180 0000 0070 0022 1489
SK19 8180 0000 0070 0022 1534
SK94 8180 0000 0070 0022 1542
SK41 8180 0000 0070 0022 1526
SK72 8180 0000 0070 0022 1550
SK44 8180 0000 0070 0022 1569
SK22 8180 0000 0070 0022 1577
SK97 8180 0000 0070 0022 1585
SK75 8180 0000 0070 0022 1593
SK15 8180 0000 0070 0022 1606
SK90 8180 0000 0070 0022 1614
SK46 8180 0000 0070 0022 1630
SK18 8180 0000 0070 0022 1649
SK93 8180 0000 0070 0022 1657
SK71 8180 0000 0070 0022 1665
SK68 8180 0000 0070 0022 1622
SK27 8180 0000 00700022 1681
SK42 8180 0000 0070 0022 1702
SK20 8180 0000 0070 0022 1710
SK49 8180 0000 0070 0022 1673
SK89 8180 0000 0070 0022 1729
SK67 8180 0000 0070 0022 1737
SK45 8180 0000 0070 0022 1745
SK23 8180 0000 0070 0022 1753
SK98 8180 0000 0070 0022 1761
SK48 8180 0000 0070 0022 1788
SK26 8180 0000 0070 0022 1796
SK63 8180 0000 0070 0022 1809
